subscriber_count,video_count,total_views,avg_likes_per_video,avg_comments_per_video,channel_age_days,has_custom_thumbnail,has_description,uploads_per_month,engagement_rate,is_fake
1392,449,33980,9,1,580,1,0,1.9,8.76,0
299,40,1345073,6,2,983,1,1,0.9,3.53,0
734,94,102345,30,15,1759,1,1,0.5,11.68,0
169,1,0,1,0,34,0,0,0.5,0.14,1
41,90,251,0,0,151,1,1,13.0,0.6,1
150125,19,448,17,20,2462,1,1,2.8,3.4,0
7135,10,125763,89,3,2416,1,1,3.1,15.0,0
33,10,29305,2,0,56,0,0,0.7,0.68,1
228,138,606629,49,132,2566,1,1,3.7,13.13,0
139,32,716,4,1,509,1,1,5.3,2.18,1
180,24,3,12,7,1085,0,0,5.0,0.72,1
211,164,105270,19,21,2052,1,1,15.0,8.82,0
150,31,4530,49,29,1722,1,1,0.3,5.79,0
2717,38,409596,0,5,1357,1,1,3.5,6.2,0
210,17,0,4,2,27,1,1,0.7,2.44,1
87,44,1588500,15,7,1667,1,1,2.4,6.84,0
10,5,14497,0,2,213,0,1,1.1,5.0,1
14,43,24311,8,32,43,1,0,3.0,5.0,1
9,80,541581,29,5,1460,1,1,2.4,4.46,0
89425,45,2775,783,49,2069,1,1,0.4,8.33,0
207,70,18378,169,15,30,1,1,0.7,1.73,0
109,4,19,0,9,324,1,0,1.0,5.0,1
1,272,1436,7,13,1202,1,1,1.9,9.2,0
16,14,228,23,0,201,0,1,0.6,3.64,1
105,298,77,0,4,125,1,1,3.8,1.59,1
23407,14,304996,4,3,2667,1,1,2.3,5.25,0
3,206,1433,0,13,256,0,1,0.8,0.4,1
30,243,60,3,3,32,1,0,0.9,3.16,1
12,53,3,11,7,270,0,0,0.6,2.54,1
9487,105,11414,0,1,1179,1,1,4.2,10.22,0
40,18,64892,12,2,151,0,1,0.5,0.65,1
986,86,8,5,11,16,0,1,1.6,1.37,1
0,1,3487,0,8,45,1,0,5.4,0.45,1
3097,537,350,7,9,1611,0,1,2.7,7.33,0
494,16,337,11,5,132,0,1,5.7,4.87,1
13,125,8,0,0,79,1,0,0.7,4.16,1
373,17,480374,5,1,558,1,1,1.6,4.04,0
13,4,707,1,3,803,1,0,1.9,0.49,1
80,12,8687,4,6,712,1,1,1.3,10.79,0
25,1,13163,6,1,21,1,1,1.7,1.99,1
35,37,707,7,2,1619,1,0,7.8,13.12,0
5,6,54,10,1,950,1,0,0.2,1.0,1
63262,1141,100,1,8,2230,1,1,6.4,11.01,0
163,2,26,3,2,693,0,0,1.3,0.54,1
562,47,153,62,0,14,0,1,0.4,3.96,1
33,104,254,2,2,396,1,1,1.4,1.93,1
158,181,2472429,13,38,1370,1,1,1.5,6.71,0
52,18,1147578,7,21,938,0,1,2.3,8.5,0
814,2,74,1,8,160,1,1,5.3,1.25,1
25503,8,16301,1,5,664,1,1,3.0,2.64,0
15,619,63266,18,10,1239,1,1,8.4,3.49,0
112,969,6,4,3,17,1,0,2.6,0.53,1
2,21,6218,4,6,116,1,0,3.0,0.24,1
1343,96,399,71,4,1173,1,1,3.0,9.98,0
49,0,66017,0,0,12,1,1,1.5,2.76,1
128,17,2867,14,1,175,1,0,1.1,0.1,1
2317,8,173748,19,39,1069,1,1,1.7,7.25,0
5224,69,1269,28,2,1542,1,1,27.8,9.13,0
232,3,58,0,0,43,1,0,0.1,0.37,1
38561,1166,51289,14,1,2383,1,1,0.7,1.72,0
220,0,5355,2,84,205,0,0,1.7,1.81,1
324,5,19939,8,5,289,1,1,4.7,3.81,1
235,20,41774007,22,70,1594,1,1,9.4,4.7,0
15,2,5047,0,0,246,0,0,0.0,0.11,1
10,19,56466,9,8,2132,1,1,3.9,8.43,0
36,0,103010,34,1,204,0,1,0.5,2.46,1
41,20,125,0,0,140,0,0,0.1,0.59,1
24,5,26004,1,0,227,0,0,0.8,2.88,1
536,18,563805,7,32,1493,1,1,3.9,8.65,0
807,61,567,148,8,1696,1,1,8.3,0.53,0
17,53,81954,80,6,666,1,1,11.0,15.0,0
65,13,56495,1,0,8,0,1,3.3,1.61,1
9,34,1496,42,1,688,1,1,3.8,15.0,0
2,0,25,0,0,138,0,0,2.2,0.38,1
24,116,2898,189,5,1580,1,1,10.3,5.78,0
159,467,100,29,8,1088,1,1,2.0,2.75,0
73,1,0,0,3,179,1,1,2.2,4.62,1
3216,100,6692,31,4,2451,1,1,8.7,8.02,0
979,46,135722,14,36,1275,1,1,3.0,15.0,0
485,1,8,7,0,274,1,1,8.2,1.42,1
492,6,21616,13,31,3448,0,1,0.7,6.63,0
45,2,4487,1,16,572,0,1,5.1,0.04,1
605,14,997,97,0,1886,1,0,1.1,8.13,0
118,7,18801,14,2,1050,1,1,3.0,14.48,0
652,157,12304,0,17,1061,1,1,3.0,14.07,0
83,23,273,2,2,381,1,0,0.9,2.97,1
779,89,1819960,7,7,495,1,1,2.3,6.05,0
97,1,33241,14,10,291,1,0,0.9,2.91,1
6,3,12,3,4,641,1,1,1.8,0.69,1
69,74,141391,4,27,333,1,1,6.0,3.52,0
25,88,2042,19,0,523,1,1,1.4,0.18,1
182,10,1317,0,14,134,0,1,0.4,0.52,1
17873,53,86007,14,2,547,1,1,9.5,10.7,0
0,0,45,125,4,69,1,1,0.2,0.82,1
137,30,25470,0,2,211,0,1,0.9,5.0,1
159,82,346451,9,4,82,0,1,0.6,0.53,1
506,58,338158,6,8,852,1,1,0.6,3.18,0
730,6,435,0,0,386,1,1,4.8,1.35,1
5202,71,82086,1,14,1115,1,1,3.1,12.44,0
1481,312,108356,92,28,1124,1,1,3.0,5.45,0
309,386,19021,10,3,2879,1,1,6.3,8.52,0
1632,15,530,16,5,492,1,1,3.8,8.6,0
45,2,1915,1,4,44,0,0,2.6,0.99,1
200,6,21,0,1,421,1,1,0.7,4.63,1
15,75,376,29,2,82,1,1,3.1,8.6,0
169,1,1263,15,6,1193,0,1,4.4,4.7,0
139,8,161,12,4,1275,1,1,4.9,5.13,0
329,185,3260,12,0,16,0,1,0.3,1.91,1
65,385,18879,725,23,1284,1,1,4.4,12.17,0
2975,12,25644,34,5,2131,1,1,4.9,2.64,0
20058,172,16905,3,9,1845,1,1,1.4,7.41,0
76,0,1,9,0,117,1,1,0.4,1.06,1
308,42,299770,151,45,740,1,0,2.5,8.47,0
789,40,4807,5,1,843,1,1,2.0,15.0,0
15,47,1063219,5,2,1976,1,0,11.2,9.14,0
25,135,2617,0,0,284,1,1,2.7,0.92,1
44,37,15447,6,0,489,1,1,0.4,0.11,1
385,8,100351,31,8,1315,0,1,3.5,3.51,0
2225,33,210,4,1,1543,1,1,1.9,13.27,0
29833,38,1547,8,3,1512,1,1,4.4,14.71,0
139,26,441795,8,9,2955,1,1,6.5,8.68,0
12,10,654,0,38,128,1,0,0.5,0.25,1
65,92,4293,1,0,100,1,0,2.3,3.54,1
970,10,1254,7,74,2233,1,1,1.3,15.0,0
1,40,60,1,6,71,0,1,4.5,0.5,1
627,51,1386,5,6,1060,1,1,2.5,13.72,0
304,1,18,1,1,34,0,1,1.7,5.0,1
160,11,4,1,0,263,1,0,1.6,5.0,1
55,10,827,1,58,2672,1,1,10.5,4.93,0
5862,5,163305,26,55,198,1,1,8.4,5.5,0
92364,105,256,22,4,2295,1,1,0.7,10.99,0
39,133,114595,2,10,970,1,1,9.0,3.48,0
190,47,15335,34,47,1845,1,1,4.7,15.0,0
34,17,157,5,2,112,0,0,1.1,0.67,1
74236,256,317068,575,2,1876,0,1,3.2,5.76,0
494,454,3126,18,5,1197,1,1,2.0,5.43,0
3663,2,112683,13,22,1586,1,1,6.4,4.23,0
22478,17,2031,0,10,3010,1,1,4.8,9.26,0
19,2,5290,0,3,205,1,0,0.7,0.06,1
76,15,71754,4,5,242,1,0,0.8,4.34,1
747,4,4406,2,0,33,0,1,0.8,0.16,1
167,2,213,0,0,357,0,1,0.2,1.56,1
191,9,34110,7,0,193,1,0,0.3,1.19,1
19,290,20,0,2,171,0,0,1.6,0.67,1
29592,24,249460,198,3,1920,1,0,2.2,12.77,0
1,1,100,2,2,13,1,1,4.3,3.23,1
1796,170,528,41,16,677,1,1,2.0,15.0,0
106,399,1684,625,11,1856,1,1,9.8,1.96,0
12160,5,19070,21,13,1609,1,1,1.5,11.83,0
104,53,241,1,1,38,1,1,1.3,2.38,1
136,103,2150,0,1,24,1,1,2.5,2.59,1
171,27,3598,0,0,75,1,0,0.5,2.9,1
2,50,12,1,10,440,1,0,0.3,1.41,1
2722,210,145597,3,6,1328,1,1,4.0,2.33,0
37,18,1,0,0,148,1,0,6.9,0.0,1
385,15,264284,9,25,853,1,1,3.3,15.0,0
11,1,39,0,6,244,1,0,0.8,0.85,1
201,347,876693,32,35,1414,0,1,3.8,12.76,0
7719,137,7253,98,14,1844,1,1,1.5,6.72,0
236,133,1198166,20,16,460,1,1,10.9,3.72,0
117,3,360,2,4,834,0,1,5.9,0.2,1
348,893,19012,169,5,526,1,1,3.7,15.0,0
9415,14,829962,39,21,1628,1,1,7.7,6.63,0
14,93,663,146,8,1170,1,1,0.4,1.56,0
93,1742,100,41,7,1553,1,1,10.1,4.67,0
2256,32,688,30,33,1613,1,1,2.6,4.09,0
787,42,157594,8,5,2758,1,1,1.5,8.53,0
6407,2,9244,18,18,1695,1,1,2.6,8.25,0
395,90,256,6,5,738,1,1,3.9,11.14,0
501,30,49,1,0,263,1,1,0.1,4.08,1
850,205,2076,328,32,1696,1,1,0.7,6.73,0
5,0,158,8,2,744,0,1,1.3,0.63,1
1512,16,548242,40,6,743,1,1,2.7,15.0,0
211,113,100099,11,13,1734,1,1,1.7,14.06,0
76,5,140,0,5,302,1,0,0.8,1.88,1
174,3,125018,3,7,39,0,0,4.2,5.0,1
36,13,41547,9,12,2262,1,1,2.9,3.54,0
4222,6,806,18,4,1150,1,1,3.7,9.45,0
30,6,10871,12,0,170,1,0,1.2,1.83,1
4,16,1137,1,0,496,1,0,1.9,0.75,1
1207,3,1437083,89,4,471,1,1,2.1,0.98,0
48,26,192,2,1,33,1,1,1.8,5.0,1
1103,17,373,3,0,436,0,0,2.6,0.68,1
5597,1384,506,5,6,902,1,1,12.0,15.0,0
1066,22,214179,3,33,2682,1,1,4.4,12.91,0
105,149,2236162,3,45,991,1,1,1.1,4.77,0
512,162,15659,172,29,1301,1,1,1.2,2.42,0
105,142,24671,0,5,2351,1,1,3.6,15.0,0
22,0,1177,8,0,120,0,0,3.7,4.94,1
12348,2,15249,36,26,1612,0,1,2.1,2.48,0
381,101,24316,4,5,1535,1,1,1.9,3.07,0
382,49,1690,1,0,1043,1,1,5.5,12.21,0
294,42,47511,220,0,702,1,1,2.1,8.39,0
6270,7,16555,11,6,948,1,1,2.3,13.39,0
13418,391,4374,17,52,640,1,1,1.2,1.57,0
25,158,83262417,6,11,1957,1,1,1.5,6.28,0
2985,49,158750,1,6,2276,1,1,3.0,4.61,0
2,13,440,5,0,204,1,1,0.5,3.67,1
245,5,1567614,24,7,732,1,1,2.7,2.4,0
5,1,17,13,0,37,0,1,1.3,3.51,1
14013,23,10287,21,12,1437,1,1,3.3,15.0,0
4,1,1247,0,35,379,1,1,2.8,1.48,1
43,7,383,1,1,287,1,1,2.9,1.83,1
6277,32,206,12,34,1600,1,1,3.5,11.07,0
50,273,6938,4,13,1303,1,1,2.7,14.61,0
3193,74,1533419,673,25,69,1,1,4.9,15.0,0
32,12,11751,1,0,69,1,0,4.0,2.8,1
18,14,1197,68,2,333,1,1,0.6,0.13,1
6,22,1482,3,0,16,0,1,1.2,2.27,1
2864,61,918,16,35,1190,1,0,1.2,5.43,0
106742,1958,7529,3,1,1464,1,1,3.3,15.0,0
295,1,1,1,4,74,1,1,0.3,0.61,1
26,57,1125,9,2,495,0,1,2.1,2.65,1
56,10,38,0,2,169,1,1,1.4,1.38,1
245,216,1693795,7,7,2169,1,1,11.9,3.54,0
327,6,5264,3,17,1822,1,1,4.6,13.75,0
269,4,7173,7,4,330,1,1,2.1,0.89,1
2078,167,436,50,11,293,0,1,3.0,1.27,0
94,703,192975,18,12,2190,1,1,1.4,0.3,0
256,26,28,6,0,76,1,0,2.4,1.14,1
1501,13,6,1,2,158,0,0,3.1,2.49,1
1148,473,45933,41,26,2826,1,1,6.7,6.17,0
417,20,14,43,2,2,1,1,2.5,1.4,1
499,71,10457,24,1,2307,1,1,1.4,12.62,0
280,10,41,3,2,185,1,0,4.7,0.17,1
18301,4,1496003,24,3,1391,1,1,8.4,2.88,0
172,80,244,9,5,1200,1,1,2.5,8.88,0
183,344,80,26,1,7,1,0,0.4,1.82,1
666,10,44264,3,8,897,1,1,2.0,10.55,0
53,492,244187,13,2,679,0,1,2.0,15.0,0
4,1,898911,69,0,22,1,0,0.5,0.75,1
47,6,235411,124,66,617,1,1,14.1,15.0,0
2323,1096,138582,0,17,1800,1,1,1.3,15.0,0
473,142,39894,8,4,1159,0,1,2.0,15.0,0
15,73,27252,55,13,2885,1,1,1.6,14.33,0
42,3,3349,3,1,62,1,0,0.2,0.19,1
6,213,925,1,3,2794,1,1,1.9,9.97,0
46,4,0,27,4,70,0,1,1.6,5.0,1
292,2,8377,2,1,20,1,1,2.5,2.92,1
5467,49,3754,8,30,1613,1,1,1.6,1.92,0
1075,11,44,0,0,1033,1,1,0.5,0.38,1
354,240,366719,10,0,1439,1,0,2.4,3.3,0
28,14,15712,1,2,39,0,1,0.5,0.25,1
669,6,7882,107,14,1964,1,1,6.1,8.49,0
460,103,3829,1,0,11,0,1,0.7,3.82,1
29,47,19,2,0,684,1,1,5.9,1.39,1
111,2,1703,3,10,22,1,0,1.7,1.17,1
121,10,100,1,0,1715,1,1,23.1,15.0,0
188,31,1459,35,29,874,1,1,1.1,9.92,0
69,10,1684233,42,0,1480,1,1,8.7,8.18,0
156,0,45,6,0,293,0,1,0.8,1.31,1
1039,191,29514,11,32,2404,1,1,7.8,0.82,0
57,19,147,2,2,111,1,1,0.2,1.03,1
10,3,4731,2,15,195,1,1,5.3,0.53,1
58671,110,392361,4,3,1054,1,1,1.2,1.74,0
469,662,29813,4,35,1711,1,0,3.1,9.68,0
68,89,761,1,0,222,1,0,1.1,0.22,1
4,13,69,0,0,397,1,0,1.6,4.52,1
17462,54,67319,5,9,2304,1,1,8.4,11.27,0
341,4,3534,1,0,488,1,0,1.8,1.91,1
180,155,369793,9,19,943,1,1,3.2,9.45,0
1066,6,30513,10,3,1580,1,1,2.9,15.0,0
5445,1835,2072,7,11,336,1,0,2.7,5.39,0
513,37,474,13,23,2258,1,1,1.7,3.55,0
8035,24,1643319,43,7,1197,1,0,5.0,7.5,0
7,28,1268,19,7,42,1,1,0.2,0.33,1
4311,263,1345,55,0,1113,1,1,0.8,3.78,0
1541,4,4474,3,30,216,1,1,1.1,8.22,0
577,188,2137,19,1,1173,1,1,4.5,8.19,0
4,1,238,2,0,84,0,1,10.1,0.26,1
118,5,817,4,1,285,0,0,2.9,0.31,1
190,78,8721,29,2,1279,0,1,1.9,2.11,0
62515,27,1678,39,8,1429,1,1,1.2,1.57,0
174,76,21816,100,1,884,1,1,3.0,13.24,0
107,261,9,139,0,65,0,1,0.3,0.28,1
4,15,840459,10,1,146,1,1,0.4,0.17,1
7,237,81153,53,23,580,1,1,3.4,4.03,0
46,41,330,110,47,2773,1,1,3.0,9.89,0
36,63,263,2,0,12,1,1,3.3,0.71,1
554,50,397840,50,4,2019,1,1,3.5,11.32,0
2916,282,556341,217,4,1454,1,1,1.8,15.0,0
2125,23,13555,1,7,1710,1,1,4.9,3.77,0
129,140,331037,2,24,1544,1,1,1.9,10.19,0
70,202,90,0,0,25,1,1,0.7,0.69,1
559,19,955132,287,7,1717,1,1,1.8,15.0,0
11,16,60,16,0,42,0,1,0.3,1.07,1
642,48,62354,1,7,763,1,1,0.9,8.77,0
190,69,9,4,1,150,1,0,0.9,0.85,1
6,43,42,7,0,23,1,1,1.1,5.0,1
46,294,597825,118,8,2055,1,0,6.8,10.32,0
154,21,347,42,44,1216,1,1,3.8,8.95,0
75,12,886,2,1,75,1,0,7.1,0.11,1
161,4,3713,49,2,646,0,1,4.2,15.0,0
84,0,14179,25,2,963,1,1,3.4,1.77,1
298,45,247,9,22,929,1,1,2.9,3.94,0
19,307,69635,2,40,2254,1,1,24.7,12.92,0
1608,55,1165907,10,8,1525,1,1,6.5,3.97,0
30582,31,13978,23,4,1636,1,1,1.6,10.85,0
30,274,7288,12,2,2536,1,1,1.8,3.31,0
2275,347,1142879,24,5,2599,1,1,1.1,2.81,0
2418,181,2399,22,2,30,1,1,1.5,7.11,0
3779,32,150848,4,6,1955,1,1,3.5,9.1,0
164,85,183515,6,22,2757,1,1,2.2,1.42,0
2644,44,32621,810,69,1445,1,1,2.7,3.19,0
28,156,50512,48,8,1714,1,1,9.5,14.17,0
0,38,1420,0,1,245,0,1,2.8,4.87,1
2220,48,10455,84,7,2236,1,1,1.5,2.93,0
21,5,17313,66,16,1555,1,1,2.3,10.95,0
852,62,67064,141,1,863,1,1,4.1,7.24,0
1,155,10830,13,7,958,0,1,1.6,7.25,0
174,22,26123,1,0,1454,0,1,5.2,6.63,0
244,411,6179,18,8,1985,1,1,0.8,1.63,0
39,73,655,0,13,965,0,1,8.1,15.0,0
2969,216,333161,66,18,30,1,1,6.1,15.0,0
5,92,3349,0,48,934,1,1,2.5,0.47,1
2135,144,254,8,1,1417,1,1,3.7,7.89,0
239,92,399,3,1,170,1,1,8.1,4.8,1
6435,267,8881,404,6,1847,1,1,0.6,4.1,0
322,53,10498,18,3,1458,1,1,3.1,4.7,0
101,19,3138,35,75,1207,1,1,4.2,11.93,0
53,383,893,12,13,1926,1,0,2.4,2.43,0
104,571,266536,1,0,144,1,0,1.9,3.17,1
114,64,0,9,0,396,1,1,0.3,0.9,1
1254,214,920,102,19,1510,1,1,1.1,6.21,0
21151,410,7705,33,6,2368,1,1,10.5,5.62,0
296,0,486,0,11,430,1,1,2.4,1.91,1
56,5,113,3,2,52,1,1,5.9,2.46,1
19,205,1146,1,18,2136,1,1,8.3,5.05,0
494,10,2795,0,13,596,0,1,1.9,0.11,1
684,38,13163,52,1,385,1,1,1.5,1.51,0
151,12,81,0,2,434,0,0,1.1,1.35,1
48,3,29,26,3,125,0,1,0.5,1.25,1
1439,5,120069,75,8,1870,1,1,1.5,8.0,0
306,31,12,1,0,70,1,0,0.2,1.7,1
21,25,843,5,1,497,0,0,0.0,0.09,1
999684,64,12138,20,4,2216,0,0,1.2,3.01,0
30,6,2677,2,6,271,0,0,0.2,3.33,1
810,5,48257,4,1,2483,1,1,5.7,15.0,0
1170,73,45696,4,5,1013,1,1,10.5,11.36,0
722,39,224760,86,7,813,1,1,2.5,4.78,0
2485,49,4398,111,18,30,1,1,1.3,0.91,0
9835,128,2463,5,1,1437,0,1,0.4,9.29,0
3009,964,771862,34,15,344,1,1,4.0,15.0,0
377,64,25268,108,45,1564,1,1,1.2,7.17,0
847,543,21746,6,10,2080,1,1,2.1,13.27,0
3672,166,6864,36,3,1042,1,1,2.8,14.85,0
568,18,81574,29,7,908,1,1,2.2,4.78,0
22,852,125168,1,3,1911,1,1,3.2,5.28,0
3497,26,1566,48,2,1047,1,1,4.8,5.23,0
1035,56,5460,9,2,20,1,0,1.7,2.19,1
6647,75,24590,96,5,30,1,1,5.0,5.52,0
13,17,18804,69,11,2708,0,1,3.1,0.29,0
11131,514,154183,190,28,868,0,1,2.2,8.51,0
39,10,11,7,0,209,0,0,5.6,0.72,1
22,2,1573,30,3,3191,1,1,1.1,14.82,0
115,10,276586,2,0,129,1,1,0.6,0.58,1
235,124,57,0,0,187,0,1,0.4,1.14,1
797,156,68207,96,2,3618,0,1,3.6,15.0,0
435,9,248,20,3,470,0,0,3.4,0.25,1
2217,24,277,0,2,184,1,1,1.8,3.37,1
138,5,71911,3,6,426,1,1,0.8,0.52,1
29,129,75683,4,48,59,1,0,3.5,2.4,1
145,70,131522,11,4,747,1,1,1.0,12.93,0
416,10,53926,133,5,2156,1,1,1.6,5.08,0
1,7,94801,0,2,480,1,1,3.8,0.91,1
452,5,31656,13,3,805,1,0,14.3,15.0,0
567,344,290697,0,1,9,1,1,0.3,0.7,1
618,2,3447,3,1,160,0,0,4.0,0.06,1
233,22,1,1,0,820,1,0,3.3,0.47,1
66,24,3129,2,36,269,0,1,3.3,1.76,1
383,13,182,4,5,358,1,1,2.4,2.35,1
0,281,93,45,1,90,1,0,3.3,0.75,1
99,12,991,21,3,1691,1,1,10.1,5.92,0
77,4,436,5,1,654,1,1,2.1,2.75,1
3436,34,31923,1,10,2541,1,1,3.0,3.59,0
539,1,35,12,1,89,1,0,0.5,1.7,1
192,10,153,3,0,130,0,0,8.3,2.09,1
16,90,4,4,1,406,0,0,3.2,0.19,1
8,48,45,3,4,123,1,1,0.8,1.55,1
788,75,416,78,0,424,1,1,4.9,7.77,0
189,97,300,56,23,1108,1,0,2.5,11.64,0
15,56,27022,7,5,658,0,1,5.2,3.22,1
3257,268,371607,9,2,1556,1,1,1.6,15.0,0
930,51,727,1,0,12,1,1,1.7,3.99,1
1,10,2710,1,0,311,1,1,0.4,0.34,1
2936,57,133,6,3,1542,1,1,1.4,7.89,0
3775,35,37096,4,7,1232,1,1,2.0,2.84,0
32,19,1184,18,0,578,0,1,0.8,5.0,1
