connections,endorsements,recommendations,posts_per_month,profile_views,account_age_days,has_profile_pic,has_summary,has_experience,has_education,skills_count,mutual_connections,is_fake
135,21,4,9.2,14,1771,1,1,1,1,6,11,0
59,4,1,0.6,17,260,1,1,1,1,4,6,1
519,19,1,0.4,26,188,1,0,1,1,9,3,1
419,19,4,3.6,302,294,1,1,0,1,19,5,0
209,1,0,0.2,21,730,1,0,1,1,1,1,1
402,67,2,8.8,262,937,1,1,0,1,9,14,0
902,23,1,1.7,80,1285,1,1,1,1,11,20,0
82,14,3,2.5,175,721,1,1,0,1,3,13,0
114,1,0,0.2,12,251,0,0,0,1,2,2,1
71,20,0,0.0,36,150,1,1,1,1,1,4,1
84,10,2,1.7,35,1492,1,1,1,1,6,7,0
3402,19,1,6.1,20,1366,1,0,1,1,12,9,0
255,9,4,1.6,23,689,1,1,1,0,5,26,0
277,2,4,1.9,21,1438,1,1,1,0,8,46,0
43,3,0,0.2,23,11,1,1,1,1,1,1,1
54,1,1,0.6,37,164,1,0,1,1,2,11,1
803,9,2,2.8,48,1104,1,1,1,1,6,36,0
121,8,3,4.6,165,1485,0,1,1,1,17,49,0
356,40,3,5.9,22,2211,1,1,1,1,15,17,0
26,0,0,0.6,8,74,1,1,1,1,4,1,1
1065,4,2,2.0,20,1402,1,0,1,1,9,54,0
156,0,0,0.3,1,9,1,1,0,1,3,3,1
717,16,2,3.8,375,370,1,1,1,1,3,8,0
229,7,2,5.5,600,1446,1,1,1,1,8,8,0
1247,12,4,1.2,96,30,1,1,1,0,6,15,0
101,11,0,2.0,54,997,1,1,0,1,11,14,0
263,1,4,3.1,1,613,1,1,0,1,22,23,0
170,17,1,9.9,608,754,1,1,1,1,9,2,0
44,1,0,1.0,10,52,0,1,0,1,7,40,1
222,1,0,0.0,34,408,1,1,1,0,30,17,1
117,14,4,1.3,27,2034,1,1,1,1,18,16,0
8,9,1,0.1,5,190,1,0,0,1,0,11,1
119,7,2,0.4,284,83,0,0,1,0,11,8,1
6,1,0,0.8,4,63,0,0,1,1,0,9,1
229,10,7,2.6,4,659,1,1,0,0,4,33,0
9,1,0,1.4,18,121,1,1,0,1,14,0,1
35,1,0,0.1,0,75,0,1,1,0,4,42,1
37,1,0,0.7,75,1,1,0,0,0,2,5,1
1034,29,0,1.2,23,1151,1,1,1,1,12,12,0
19,0,0,0.5,8,125,1,0,0,0,0,5,1
7,0,0,0.2,29,181,1,0,1,1,0,1,1
50,11,0,3.9,67,30,1,1,1,1,6,79,0
11,1,0,1.1,41,130,1,1,1,1,0,7,1
240,3,1,2.0,112,1925,1,1,1,1,5,8,0
7,5,0,0.0,5,304,0,1,0,0,7,14,1
195,28,2,3.9,298,1766,1,1,0,1,6,79,0
16,25,0,0.1,24,8,1,0,0,1,4,1,1
204,7,4,3.4,137,2248,1,1,1,1,11,23,0
350,0,0,1.1,145,176,1,0,0,1,0,7,1
479,16,2,6.5,69,1432,1,1,1,0,24,6,0
6,6,0,0.3,5,62,1,1,1,0,20,1,1
152,12,1,7.1,75,770,1,1,1,1,6,39,0
162,15,4,2.0,131,2515,1,1,1,1,21,16,0
127,16,5,10.6,230,1874,1,1,1,1,6,19,0
809,4,2,5.0,33,1648,1,1,1,1,5,82,0
667,33,2,3.1,44,912,1,1,1,1,4,13,0
1,0,0,0.2,6,214,0,0,1,0,4,2,1
30,3,0,0.0,64,26,1,0,1,0,5,1,1
229,3,3,5.4,73,1165,1,1,1,1,14,54,0
10,16,0,0.2,1,51,1,1,1,0,2,5,1
3,0,1,0.1,22,46,0,1,0,0,2,14,1
107,14,2,2.6,93,791,1,1,1,0,15,24,0
276,13,2,8.7,230,1245,1,1,1,1,13,11,0
0,0,0,0.4,11,264,1,1,0,1,1,7,1
122,40,3,3.2,145,166,1,1,1,1,10,8,0
21,5,2,0.2,17,77,0,0,0,1,3,13,1
478,3,1,5.5,184,1693,1,1,1,1,7,40,0
256,20,4,3.9,57,2770,1,1,1,1,20,32,0
648,22,4,1.6,54,1198,1,1,1,1,5,15,0
303,4,6,6.1,749,1129,1,1,1,1,5,15,0
373,3,1,0.8,2,214,1,0,0,1,4,35,1
23,1,0,0.8,1,122,0,0,0,1,1,6,1
3,0,0,0.1,2,28,1,1,0,0,3,21,1
440,78,4,3.4,13,1316,1,1,1,1,3,16,0
187,6,3,1.8,27,2367,1,1,1,0,1,37,0
303,35,1,6.2,141,1256,1,1,0,1,5,18,0
13,0,0,0.1,25,107,1,1,0,0,2,15,1
185,11,3,0.6,3,641,1,1,1,1,2,8,0
152,10,4,0.9,14,319,1,1,1,1,48,9,0
68,3,2,5.3,215,232,1,1,1,0,5,10,0
150,9,3,1.4,28,950,1,1,1,1,10,23,0
3,2,1,1.1,24,223,1,1,1,0,6,6,1
5000,22,2,0.9,98,1670,1,1,1,1,35,20,0
275,11,0,6.5,103,1690,1,1,1,1,13,106,0
21,1,1,0.9,2,507,1,0,1,0,1,47,1
269,9,3,2.0,14,1240,1,0,1,1,9,63,0
26,1,0,0.0,3,323,1,1,0,1,3,5,1
400,6,4,2.1,92,930,1,1,1,1,16,13,0
868,7,4,6.1,12,1833,1,1,1,1,8,17,0
461,8,2,3.1,94,799,1,1,1,1,3,82,0
142,0,0,0.1,1,69,1,0,0,1,0,2,1
761,6,3,1.4,14,2683,1,1,1,1,2,131,0
24,2,1,0.1,3,36,1,1,0,0,3,2,1
107,0,0,0.6,4,273,1,1,0,0,0,11,1
275,8,5,1.8,4,775,1,1,1,1,6,30,0
83,8,0,0.1,7,10,1,0,0,1,5,2,1
11,0,1,0.3,13,60,1,1,1,0,0,1,1
89,2,4,1.8,161,1704,1,1,1,1,3,12,0
17,0,1,0.9,49,789,1,1,1,0,2,20,1
14,4,0,0.3,0,78,1,0,1,0,2,54,1
740,36,3,2.9,232,2232,0,1,1,1,11,8,0
97,7,4,0.6,35,1886,1,1,1,1,10,212,0
74,0,0,0.7,4,429,0,0,1,0,2,4,1
251,35,2,3.4,37,912,1,1,1,1,17,12,0
196,29,2,2.1,14,1180,1,1,1,1,14,8,0
241,28,5,3.5,29,1189,1,1,1,0,7,41,0
341,7,3,2.1,48,238,1,1,1,1,15,169,0
5,4,0,0.3,10,50,1,1,0,0,4,6,1
2,0,0,0.2,1,143,0,0,0,1,2,7,1
415,7,3,2.3,28,1424,1,1,1,0,18,14,0
409,14,5,2.3,50,2258,0,1,1,1,8,19,0
450,36,2,3.1,158,1428,1,1,1,1,10,130,0
9,8,0,0.7,7,52,0,0,0,1,12,10,1
386,54,0,1.8,57,1534,1,1,1,1,3,31,0
86,8,3,6.0,374,1269,1,1,1,1,9,13,0
71,13,4,1.9,172,2061,0,1,1,1,11,7,0
228,2,2,0.2,84,34,0,0,0,0,0,0,1
378,56,5,3.7,92,416,1,1,1,1,4,67,0
144,7,6,3.6,214,1899,1,1,1,1,5,121,0
293,2,5,1.0,35,2223,1,1,1,1,4,14,0
99,0,1,0.0,6,44,1,0,1,1,2,11,1
29,0,0,0.8,26,324,0,0,1,1,0,4,1
53,3,3,4.1,82,2293,1,1,1,1,3,22,0
1598,40,0,1.0,285,1263,0,1,1,1,5,8,0
205,14,3,3.8,150,2080,1,1,1,1,47,42,0
37,4,4,5.0,53,734,1,1,1,1,6,29,0
239,11,4,1.0,10,1250,0,1,1,1,9,48,0
33,5,0,0.1,3,1184,1,0,1,1,0,1,1
392,27,4,1.8,23,1081,1,1,1,1,13,33,0
9,1,0,0.3,13,12,1,0,0,1,1,57,1
595,13,1,4.2,15,1186,1,1,1,1,12,13,0
10,7,0,0.1,7,19,1,0,0,1,24,3,1
11,6,0,0.1,2,101,1,1,1,1,0,8,1
904,8,0,0.7,24,286,0,1,1,1,13,9,0
223,2,1,0.4,27,762,1,1,1,1,4,18,0
115,27,6,0.6,60,915,1,0,1,1,9,5,0
128,24,0,8.7,13,1880,1,1,1,0,9,500,0
143,9,2,3.1,230,1003,1,1,1,1,10,38,0
10,0,0,1.4,9,52,1,0,0,0,0,2,1
358,1,4,1.0,206,402,1,0,1,1,2,67,0
337,20,4,3.1,332,420,1,1,0,1,13,11,0
559,8,5,2.6,38,294,1,1,1,1,7,6,0
509,19,4,4.9,281,1280,1,1,1,1,2,24,0
16,14,0,0.3,1,233,1,1,0,0,1,2,1
35,3,0,0.2,2,742,1,1,0,1,1,54,1
29,14,0,0.1,105,37,0,0,1,1,0,2,1
145,14,1,0.0,14,250,0,1,1,1,4,2,1
200,18,0,0.1,12,9,1,1,1,0,0,1,1
31,2,0,0.4,20,84,1,0,1,1,1,2,1
610,13,2,6.0,137,913,1,1,1,0,22,15,0
192,11,4,10.9,483,959,1,1,1,1,6,31,0
1046,28,3,1.8,29,1862,1,1,1,1,4,53,0
1097,15,5,2.6,26,942,1,1,1,1,12,11,0
156,14,1,0.9,22,742,0,0,1,1,9,28,0
11,3,2,0.2,2,495,0,0,0,0,11,15,1
12,2,0,0.1,16,184,0,1,1,0,1,7,1
32,4,0,0.4,1,88,0,1,0,0,5,2,1
40,3,1,0.9,5,318,0,1,0,1,7,4,1
749,18,2,3.7,165,692,1,1,1,1,8,84,0
103,0,1,0.5,5,334,1,0,1,0,3,12,1
790,9,2,4.4,2,111,0,1,1,1,30,39,0
40,6,0,0.4,2,164,1,0,1,1,7,4,1
72,8,3,1.1,207,1920,1,0,0,1,6,5,0
212,16,1,0.8,58,787,1,1,1,1,2,16,0
451,8,1,4.3,100,745,1,1,1,1,6,4,0
63,8,0,0.3,15,321,1,0,0,0,1,2,1
78,11,5,2.8,300,578,1,0,1,1,10,2,0
468,12,4,3.3,288,1749,1,1,1,1,5,20,0
779,19,1,2.7,90,575,1,1,1,1,6,22,0
199,8,4,8.7,167,1241,1,1,1,1,4,32,0
1032,25,2,0.9,110,1341,1,1,1,1,9,19,0
24,7,4,8.0,89,1665,1,1,1,1,2,25,0
289,4,3,1.0,12,597,1,1,1,1,23,11,0
138,8,2,5.0,70,847,1,1,1,1,3,46,0
188,1,0,0.5,113,153,1,1,1,1,0,7,1
134,23,5,1.7,71,1048,1,1,1,1,11,32,0
49,0,0,0.1,137,68,0,1,1,0,2,3,1
646,10,4,3.1,33,1320,1,1,1,1,3,72,0
232,61,4,1.8,30,1095,1,1,1,1,10,35,0
5,0,2,1.0,33,312,0,0,0,0,6,5,1
88,2,0,0.1,0,492,1,1,0,1,7,0,1
280,6,7,2.3,96,1341,1,1,1,1,11,18,0
291,5,2,2.0,396,898,1,1,1,1,16,4,0
34,2,0,0.1,11,68,0,1,0,1,20,0,1
20,9,2,0.4,2,128,1,0,1,1,14,0,1
387,10,0,1.9,21,1594,1,1,0,1,8,5,0
348,50,1,1.3,73,108,0,1,0,0,7,0,1
214,1,0,0.1,15,3,1,0,1,0,3,11,1
245,23,4,1.8,43,740,1,1,1,1,8,5,0
501,27,3,2.5,858,1393,1,1,1,0,9,12,0
28,24,4,2.6,103,945,1,0,0,1,17,107,0
1169,24,3,7.2,205,1687,1,1,1,1,7,17,0
408,3,5,2.4,19,599,1,1,1,1,12,18,0
350,0,1,0.5,17,175,1,1,0,1,2,1,1
392,34,3,0.4,236,1840,1,1,1,1,5,34,0
1220,3,3,1.5,29,1711,1,1,0,1,5,13,0
186,5,5,2.5,96,1997,1,1,1,1,6,31,0
261,7,2,2.3,46,1103,1,1,1,1,5,34,0
89,12,0,1.5,37,2136,1,1,1,1,12,54,0
263,22,6,1.3,30,30,1,0,1,1,34,51,0
1832,94,0,4.6,43,559,1,1,1,1,4,48,0
1554,5,2,2.6,38,1847,1,1,1,1,17,23,0
60,5,0,0.3,1,181,0,1,1,0,12,10,1
211,20,2,6.2,40,1881,1,1,1,1,6,23,0
56,5,0,0.2,14,38,1,1,0,0,0,16,1
1034,7,5,1.4,43,1716,1,1,1,1,9,9,0
15,0,1,0.3,7,19,1,0,0,0,5,0,1
90,0,1,0.3,15,18,1,1,1,1,4,0,1
1592,2,4,3.2,55,597,1,1,1,1,3,10,0
221,5,1,3.9,31,1618,1,1,1,1,7,139,0
872,22,3,3.4,341,1609,1,1,1,1,4,44,0
10,16,1,0.5,9,9,0,0,1,0,2,40,1
61,3,1,1.1,121,76,1,1,1,1,13,0,1
765,4,0,3.0,45,625,1,1,1,1,13,7,0
373,3,4,1.2,28,2634,1,1,1,1,7,9,0
573,2,3,3.3,39,2045,1,1,1,1,1,5,0
103,10,0,0.4,46,8,1,0,0,0,1,1,1
53,14,0,0.2,52,116,1,0,1,1,3,18,1
101,15,0,0.4,8,86,0,0,0,0,2,3,1
772,5,2,3.2,14,2029,1,1,1,1,2,48,0
229,50,3,1.0,33,889,1,1,1,1,38,7,0
321,5,0,0.0,6,142,1,0,0,0,1,1,1
2706,10,5,3.8,71,620,1,1,1,1,8,18,0
1975,7,1,13.3,112,2300,1,1,1,1,9,34,0
83,4,0,1.2,54,1,1,0,1,0,12,62,1
22,2,0,0.6,297,186,0,0,1,1,2,2,1
436,18,1,1.0,7,1476,1,1,1,1,5,45,0
7,6,0,0.4,2,112,0,1,0,1,3,0,1
1098,25,1,19.0,31,1454,1,1,1,1,5,6,0
135,5,1,0.5,4,303,0,0,1,0,3,1,1
147,15,3,1.0,27,1750,1,1,1,1,1,28,0
86,23,6,3.4,12,852,1,0,0,1,5,15,0
44,3,1,0.1,1,158,1,0,1,1,4,11,1
158,13,8,7.4,33,1782,1,1,1,1,6,17,0
467,41,3,6.2,618,1893,1,1,1,1,5,15,0
6,0,0,0.8,4,165,1,1,0,0,5,14,1
690,11,1,7.2,5,557,1,1,1,1,12,29,0
109,1,2,5.5,140,1303,1,1,1,1,9,3,0
79,20,2,0.8,166,2600,0,1,1,1,7,15,0
125,7,2,2.9,94,766,1,1,1,0,10,23,0
87,9,0,0.5,6,164,1,0,1,1,1,1,1
316,4,3,2.9,47,994,1,1,1,1,2,7,0
27,1,0,0.0,5,176,1,0,0,0,2,2,1
38,10,0,0.7,54,30,1,0,1,1,3,11,1
338,1,6,1.3,11,1871,0,1,1,1,8,15,0
27,4,1,0.1,28,6,0,1,0,0,2,13,1
232,62,2,1.1,289,601,1,1,1,1,9,6,0
7,3,0,0.5,0,599,0,0,1,1,0,3,1
40,8,2,4.9,11,1581,1,1,1,1,29,26,0
5,15,2,0.6,0,167,1,0,0,1,0,16,1
283,4,2,0.6,9,186,1,0,0,0,2,0,1
40,10,1,0.6,29,124,0,0,0,1,0,20,1
503,7,2,1.8,75,1407,1,0,1,1,10,1,0
112,4,3,1.2,52,30,1,1,1,1,9,57,0
46,11,2,1.2,53,224,1,1,1,1,8,6,0
13,3,1,0.3,11,38,1,0,1,1,2,7,1
55,18,2,3.7,147,2313,1,0,1,1,9,20,0
158,2,0,0.1,125,71,1,1,0,1,1,4,1
26,0,1,0.1,4,196,1,0,1,1,2,8,1
186,2,5,2.0,73,1143,1,1,1,1,9,21,0
813,6,0,1.2,247,2032,1,1,1,1,7,15,0
295,4,3,6.6,17,263,1,1,1,1,9,45,0
132,5,5,5.2,50,536,1,1,1,1,23,4,0
351,4,3,10.8,284,1869,1,1,1,0,4,10,0
336,37,2,2.8,55,952,1,1,1,1,3,8,0
2231,12,4,0.8,430,1386,1,1,1,1,5,57,0
119,79,4,15.6,123,1028,1,1,1,1,3,17,0
105,42,3,3.1,105,1728,1,0,1,1,10,8,0
967,20,2,3.9,14,1415,1,1,1,1,5,30,0
754,5,3,6.8,59,736,1,1,1,1,8,251,0
17,3,0,0.2,24,13,0,0,1,0,0,52,1
283,3,2,2.0,20,1607,1,1,1,0,19,51,0
721,6,4,8.4,73,814,1,1,1,1,3,6,0
199,20,3,10.8,11,1766,1,0,1,1,11,3,0
8,13,0,0.4,1,78,1,0,1,1,12,9,1
206,44,4,1.2,29,1224,1,1,1,0,9,33,0
516,12,4,2.9,32,2442,1,1,1,1,25,58,0
583,7,4,2.9,177,659,1,0,1,1,8,4,0
91,19,4,1.2,193,30,0,1,1,1,10,37,0
36,1,0,0.1,15,305,0,0,0,1,3,12,1
310,16,2,2.2,22,1632,1,1,1,1,15,293,0
2418,7,3,3.0,284,304,1,1,1,1,5,12,0
1072,12,1,1.3,124,192,1,1,1,1,4,32,0
10,1,0,0.1,53,22,0,0,1,1,18,7,1
784,5,5,4.1,22,689,1,1,1,1,5,84,0
339,14,3,2.7,132,1595,1,1,1,1,4,37,0
342,36,3,13.2,329,2180,1,1,1,1,3,82,0
83,9,1,6.8,233,1188,1,1,1,0,1,10,0
5,0,1,0.6,253,45,1,0,1,1,1,2,1
236,4,4,3.0,28,1023,1,1,1,0,12,3,0
27,1,0,0.1,103,188,1,0,0,0,4,1,1
144,13,4,0.9,70,366,1,1,1,0,10,5,0
32,3,1,0.1,6,428,1,1,1,0,2,2,1
56,0,2,2.5,6,119,1,1,1,1,5,2,1
107,13,2,1.1,70,709,1,1,1,1,5,76,0
539,2,4,2.9,141,1850,1,0,1,1,23,26,0
164,15,0,0.8,8,376,1,1,0,0,6,1,1
100,38,4,3.1,41,855,1,1,1,1,7,14,0
68,26,0,0.2,15,48,0,0,1,1,4,2,1
159,3,0,8.3,2,30,1,1,1,1,3,14,0
551,4,3,4.4,30,1278,1,1,1,0,2,4,0
21,2,4,2.0,23,1066,1,1,1,1,9,19,0
127,19,3,3.2,37,570,1,1,1,1,11,19,0
103,10,4,2.3,106,1126,1,1,1,1,5,42,0
132,28,6,1.5,23,1756,1,1,1,1,5,26,0
330,40,0,5.0,37,404,1,1,1,1,27,5,0
238,90,4,1.4,24,2106,1,1,1,1,35,114,0
117,19,1,1.6,20,1697,1,1,1,1,10,26,0
498,3,4,4.9,33,1806,1,1,1,1,8,29,0
150,21,1,6.6,71,1493,1,1,1,1,6,31,0
11,14,0,1.3,7,69,1,0,1,0,2,2,1
242,20,3,0.5,3,459,1,1,1,1,16,120,0
172,1,1,2.6,164,1580,1,1,1,1,1,30,0
492,27,3,1.3,48,2133,1,1,0,1,6,23,0
304,48,4,3.6,62,1078,1,1,1,1,19,63,0
151,1,5,2.3,56,1190,1,1,1,1,14,168,0
231,22,3,1.6,520,1134,1,1,1,1,4,64,0
20,1,3,0.4,9,1329,1,1,1,0,10,6,0
59,18,1,3.6,62,1637,0,1,1,1,1,9,0
36,1,0,0.5,24,495,1,0,1,0,2,2,1
1597,9,5,1.4,4,1239,1,1,1,1,1,6,0
12,4,1,0.3,9,436,0,1,1,1,6,14,1
134,12,2,3.4,17,1204,1,1,1,1,10,11,0
140,1,4,3.0,178,1229,1,0,1,1,8,8,0
70,11,5,2.4,25,1161,1,1,1,1,4,15,0
178,52,2,2.3,28,205,1,1,1,1,9,17,0
9,3,0,0.0,8,10,1,0,0,1,4,10,1
1,2,2,0.2,12,63,0,1,1,1,10,0,1
140,36,3,13.5,8,2229,1,1,1,1,6,34,0
1152,3,1,6.9,98,1821,1,1,1,1,6,3,0
59,82,2,2.4,161,802,1,1,1,1,3,3,0
77,2,0,0.8,4,330,1,0,0,0,2,2,1
819,5,0,1.8,62,1603,1,1,1,1,26,7,0
47,5,0,0.2,5,8,1,0,1,1,7,3,1
306,5,2,2.4,53,2518,1,0,1,1,8,21,0
384,3,0,0.1,5,172,0,1,0,0,1,1,1
248,0,0,0.1,0,196,0,0,0,1,2,6,1
182,12,2,2.0,26,1124,1,1,1,0,5,126,0
6,3,1,1.0,18,54,1,1,0,1,1,5,1
121,2,0,0.3,5,36,1,0,1,1,2,31,1
50,5,1,7.0,13,1228,1,0,1,1,8,12,0
148,2,0,0.1,1,206,1,1,0,0,1,0,1
715,24,1,0.8,564,1247,1,1,1,0,5,14,0
53,6,3,2.1,153,639,1,1,1,1,6,41,0
396,26,0,4.1,66,2032,1,1,1,1,15,110,0
191,26,3,2.1,39,1679,1,1,1,1,11,27,0
104,6,7,1.9,31,30,1,1,1,0,6,3,0
1921,8,2,4.7,83,1517,1,1,1,1,12,7,0
100,20,5,4.2,103,927,1,1,1,1,7,9,0
692,7,2,11.4,15,1109,1,1,1,1,16,10,0
1745,18,2,4.3,396,384,1,0,1,1,4,78,0
181,13,3,1.1,38,1632,1,1,1,1,1,6,0
339,17,3,0.8,496,1520,1,0,1,1,3,3,0
228,18,4,7.5,28,674,1,1,1,0,8,6,0
220,16,2,4.2,102,454,1,1,1,1,6,55,0
448,5,2,3.3,34,1588,1,1,1,1,4,1,0
878,30,4,1.1,157,92,1,1,1,1,11,7,0
1195,3,4,1.1,289,2671,1,1,1,1,5,9,0
107,1,1,0.0,5,106,1,1,0,1,0,3,1
453,44,4,3.9,43,1246,1,1,0,1,6,183,0
34,0,0,0.0,27,393,0,1,1,1,2,17,1
11,6,0,0.3,4,2,0,0,1,1,4,6,1
120,26,4,2.0,196,788,1,1,1,1,4,8,0
32,2,1,0.0,41,167,0,1,0,0,5,1,1
60,0,1,0.6,1,199,0,0,1,0,3,0,1
125,5,0,0.5,3,125,0,0,1,1,2,0,1
12,0,0,0.4,4,587,1,0,0,1,5,9,1
124,3,1,3.8,652,551,1,1,0,1,8,28,0
154,3,3,1.4,330,1171,1,1,1,0,3,17,0
28,2,0,2.4,16,33,0,1,1,1,1,0,1
329,11,2,4.6,1676,792,1,1,1,1,5,6,0
85,22,6,0.7,11,1057,1,1,1,1,3,22,0
24,25,0,0.3,135,253,0,1,0,0,4,0,1
6,1,1,0.5,4,76,1,0,1,1,4,12,1
50,1,2,0.3,8,114,0,0,1,0,5,3,1
